name,year,kms_driven,fuel_type,Price
Volvo XC40 D4 Inscription BSIV,2019,20000,Diesel,3800000
Toyota Camry 2.5 Hybrid,2016,68089,Petrol,2000000
Maruti Wagon R LXI,2013,58343,Petrol,225000
Maruti Baleno Alpha 1.3,2018,38817,Diesel,740000
Honda Jazz VX,2016,56494,Petrol,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,750000
Maruti Swift AMT VVT VXI,2019,5621,Petrol,650000
Toyota Etios VX,2017,25538,Petrol,625000
Maruti Swift AMT ZXI,2018,69779,Petrol,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,Diesel,450000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,5400000
BMW X4 M Sport X xDrive20d,2019,8500,Diesel,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,Petrol,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,645000
Volvo V40 D3 R-Design,2018,2000,Diesel,2475000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,2625000
Lexus ES 300h,2019,20000,Petrol,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,3200000
Tata Safari Storme EX,2015,110000,Diesel,503000
Volvo XC40 D4 Inscription BSIV,2019,20000,Diesel,3800000
Toyota Camry 2.5 Hybrid,2016,68089,Petrol,2000000
Maruti Wagon R LXI,2013,58343,Petrol,225000
Maruti Baleno Alpha 1.3,2018,38817,Diesel,740000
Honda Jazz VX,2016,56494,Petrol,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,750000
Maruti Swift AMT VVT VXI,2019,5621,Petrol,650000
Toyota Etios VX,2017,25538,Petrol,625000
Maruti Swift AMT ZXI,2018,69779,Petrol,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,Diesel,450000
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,5400000
BMW X4 M Sport X xDrive20d,2019,8500,Diesel,5500000
Honda Amaze V CVT Petrol BSIV,2019,7032,Petrol,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,645000
Volvo V40 D3 R-Design,2018,2000,Diesel,2475000
Tata Indigo CS eLX BS IV,2017,155000,Diesel,385000
Maruti Celerio ZXI AT,2016,35000,Petrol,400000
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,50000,Diesel,550000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,185000,Diesel,270000
Tata Indigo CS LS (TDI) BS III,2013,175000,Diesel,200000
Renault KWID RXT Optional,2016,11500,Petrol,310000
Hyundai Xcent 1.2 CRDi S,2019,3000,Diesel,700000
Chevrolet Sail LT ABS,2015,80000,Diesel,480000
Maruti Alto LXI,2005,40000,Petrol,90000
Maruti Alto LXI,2005,40000,Petrol,80000
Maruti Ritz VDi,2015,90000,Diesel,350000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,100000,Diesel,600000
Mahindra Scorpio M2DI,2011,120000,Diesel,350000
Maruti Vitara Brezza VDi Option,2018,50000,Diesel,770000
Mahindra Verito 1.5 D6 BSIV,2012,25000,Diesel,350000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,50000,Diesel,600000
Mahindra TUV 300 T8,2016,71000,Diesel,750000
Maruti Wagon R VXI BS IV,2016,40000,Petrol,340000
Hyundai Elite i20 Petrol Sportz,2018,31800,Petrol,650000
Hyundai i10 Sportz,2014,65000,Petrol,300000
Maruti Alto 800 LXI,2014,15000,Petrol,204999
Mahindra Verito 1.5 D4 BSIII,2012,70000,Diesel,254999
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,5000,Petrol,650000
Hyundai EON Magna Plus,2017,50000,Petrol,280000
Tata Indica V2 DLS,2011,80000,Diesel,100000
Chevrolet Tavera Neo 3 9 Str BSIII,2014,70000,Diesel,575000
Maruti Vitara Brezza VDi,2017,40000,Diesel,780000
Mahindra Bolero 2011-2019 ZLX,2013,157000,Diesel,467000
Mahindra Scorpio S10 7 Seater,2015,90000,Diesel,1050000
Hyundai i10 Magna 1.1L,2011,80000,Petrol,225000
Hyundai Santro GLS I - Euro II,2004,90000,Petrol,90000
Hyundai Santro Xing XG AT eRLX Euro III,2004,80000,Petrol,80000
Toyota Etios Liva GD,2012,80000,Diesel,300000
Mahindra Verito 1.5 D4 BSIV,2012,70000,Diesel,260000
Chevrolet Spark 1.0 E,2009,50000,Petrol,90000
Ford Figo Diesel ZXI,2012,60000,Diesel,280000
Mahindra Verito 1.5 D4 BSIII,2014,106000,Diesel,350000
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,80000,Diesel,229999
Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,80000,Diesel,550000
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,110000,Diesel,850000
Mahindra Bolero DI,2011,120000,Diesel,370000
Maruti Alto K10 LXI,2013,27000,Petrol,250000
Maruti Alto LXi,2007,70000,Petrol,95000
Maruti Wagon R LXI Minor,2010,70000,Petrol,180000
Mahindra NuvoSport N8 AMT,2016,50000,Diesel,650000
Hyundai Xcent 1.2 CRDi E,2018,60000,Diesel,530000
Maruti Swift VVT ZXI,2017,15000,Petrol,610000
Maruti Zen Estilo VXI BSIV W ABS,2011,40000,Petrol,200000
Mahindra Xylo E4 8S,2010,135000,Diesel,265000
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,26300,Petrol,560000
Mahindra Bolero 2011-2019 SLE,2014,120000,Diesel,430000
Maruti Swift Dzire VDI,2017,35000,Diesel,711000
Maruti Swift Dzire VXI,2015,30000,Petrol,511000
Mahindra Bolero 2011-2019 ZLX,2012,165000,Diesel,450000
Tata Zest Revotron 1.2 XT,2015,50000,Petrol,325000
Renault Scala Diesel RxZ,2013,120000,Diesel,434999
Ford Figo Diesel LXI,2010,100000,Diesel,210000
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2009,90000,Petrol,140000
Maruti SX4 Vxi BSIII,2007,120000,Petrol,160000
Maruti Ertiga VXI Limited Edition,2017,70000,Petrol,650000
Maruti Swift VDI BSIV,2008,90000,Diesel,250000
Hyundai i20 Sportz 1.2,2014,72000,Petrol,320000
Renault KWID Climber 1.0 MT,2017,50000,Petrol,290000
Mahindra Jeep Classic,1996,5000,Diesel,163000
Tata Nano CX,2013,30000,Petrol,80000
Tata Safari Storme EX,2017,20000,Diesel,1100000
Maruti Ciaz ZDi Plus,2015,110000,Diesel,600000
Renault KWID RXT,2017,25000,Petrol,340000
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,120000,Diesel,750000
Maruti Alto LX,2006,40000,Petrol,100000
Renault KWID RXT Optional,2019,10000,Petrol,395000
Maruti Wagon R VXI Minor,2010,65000,Petrol,200000
Maruti Eeco CNG 5 Seater AC BSIV,2019,10000,CNG,450000
Mahindra Verito 1.4 G4 BSIV,2012,110000,Petrol,180000
Mahindra Bolero DI,2008,120000,Diesel,190000
Maruti Eeco 5 Seater AC BSIV,2015,72000,Petrol,310000
Maruti Ritz VDi,2014,89100,Diesel,351000
Chevrolet Optra 1.6 LT Royale,2006,94000,Petrol,190000
Hyundai EON Magna Plus,2015,120000,Petrol,225000
Chevrolet Spark 1.0 LT,2012,110000,Petrol,130000
Maruti Ciaz Alpha Diesel,2018,50000,Diesel,1000000
Tata Indica V2 DLS TC,2004,90000,Diesel,55000
Chevrolet Sail 1.2 LT ABS,2014,23000,Petrol,330000
Maruti Omni MPI STD BSIV,2013,50000,Petrol,166000
Mahindra Xylo D4 BSIII,2013,300000,Diesel,200000
Maruti Alto K10 2010-2014 VXI,2011,50000,Petrol,140000
Maruti Eeco CNG 5 Seater AC BSIV,2017,140000,CNG,370000
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,16000,Petrol,720000
Hyundai i20 Active 1.4,2015,126000,Diesel,500000
Hyundai Xcent 1.2 VTVT SX,2019,15000,Petrol,570000
Maruti Swift Dzire 1.2 Vxi BSIV,2010,200000,Petrol,210000
Maruti Alto LXi,2009,120000,Petrol,120000
Hyundai Getz GLX,2005,120000,Petrol,95000
Hyundai i10 Sportz AT,2010,110000,Petrol,196000
Maruti Eeco 5 Seater AC BSIV,2016,38000,Petrol,392000
Tata Manza Aura Plus Safire,2010,104000,Petrol,150000
Honda BR-V i-VTEC E MT,2017,120000,Petrol,595000
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,35000,Diesel,833000
Maruti Swift VDI,2011,210000,Diesel,280000
Maruti 800 Std BSII,2003,35000,Petrol,35000
Maruti Ritz VDi,2009,85000,Diesel,180000
Maruti Wagon R VXi BSII,2012,80000,Petrol,225000
Mercedes-Benz New C-Class 220 CDI AT,2012,50000,Diesel,1400000
Hyundai i20 Era Diesel,2009,40000,Diesel,340000
Toyota Innova 2.5 GX 8 STR,2010,216000,Diesel,550000
Maruti Wagon R VXI BS IV,2017,65000,Petrol,400000
Hyundai Getz GLE,2006,100000,Petrol,90000
Maruti Ciaz VDi Plus SHVS,2015,84000,Diesel,650000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,210000,Diesel,730000
Chevrolet Aveo U-VA 1.2 LS,2010,60000,Petrol,125000
Hyundai Getz GLE,2006,100000,Petrol,81000
Maruti Swift Glam,2007,78000,Petrol,170000
Honda City 1.5 EXI,2002,161000,Petrol,81000
Maruti Alto LX,2005,70000,Petrol,95000
Tata Nano Cx BSIV,2010,50000,Petrol,55000
Renault Lodgy World Edition 110PS,2017,65000,Diesel,880000
Renault KWID RXL,2015,50000,Petrol,200000
Maruti Wagon R VXI 1.2,2019,25000,Petrol,480000
Mahindra Bolero 2011-2019 Plus AC,2013,100000,Diesel,480000
Hyundai i20 1.2 Asta,2018,6000,Petrol,700000
Honda BRV i-DTEC V MT,2016,72113,Diesel,850000
Tata Indigo CR4,2012,40000,Diesel,300000
Hyundai i20 1.2 Asta Option,2017,8000,Petrol,650000
Maruti Ritz VXI,2010,20000,Petrol,220000
Tata Indigo CS LS (TDI) BS-III,2014,45000,Diesel,300000
Maruti Swift Dzire VDI,2014,80000,Diesel,450000
Maruti Swift VDI BSIV,2014,90000,Diesel,400000
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2018,25000,Diesel,1030000
Tata Manza Aura Quadrajet,2010,100000,Diesel,190000
Ford Fiesta 1.4 Duratec EXI,2006,60000,Petrol,140000
Hyundai i20 Active S Diesel,2018,30000,Diesel,800000
Mahindra Scorpio LX 2.6 Turbo,2007,120000,Diesel,229999
Tata Safari DICOR 2.2 EX 4x2,2011,80000,Diesel,300000
Volkswagen Vento Diesel Highline,2011,69000,Diesel,375000
Chevrolet Beat LT,2010,75000,Petrol,140000
Maruti Alto LX,2004,113000,Petrol,60000
Hyundai Xcent 1.1 CRDi S Option,2014,90000,Diesel,420000
Renault Pulse RxZ,2012,100000,Diesel,300000
Tata Indica Vista Quadrajet VX,2012,110000,Diesel,150000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,Diesel,600000
Ford Figo Diesel Titanium,2011,100000,Diesel,204999
Hyundai Xcent 1.2 CRDi SX,2017,50000,Diesel,625000
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,200000,Diesel,280000
Hyundai Santa Fe 2WD AT,2014,146000,Diesel,1050000
Chevrolet Optra Magnum 1.6 LT Petrol,2009,80000,Petrol,250000
Tata New Safari DICOR 2.2 EX 4x2,2010,96443,Diesel,535000
Honda Accord 2.4 AT,2009,100000,Petrol,400000
Maruti Swift AMT VXI,2019,10000,Petrol,610000
Maruti Swift Dzire VDI,2014,110000,Diesel,509999
Tata Safari Storme VX,2014,86000,Diesel,521000
Maruti Swift Dzire VDI,2014,100000,Diesel,511000
Hyundai i20 Sportz 1.4 CRDi,2014,91000,Diesel,451000
Hyundai i10 Sportz,2009,100000,Petrol,170000
Maruti Swift Dzire VDI,2013,120000,Diesel,450000
Honda City 1.5 V Elegance,2011,90000,Petrol,375000
Maruti Alto 800 LXI,2016,60000,Petrol,305000
Renault KWID RXT,2016,51500,Petrol,315000
Chevrolet Sail 1.3 LS,2016,60000,Diesel,250000
Ford Figo Diesel EXI,2012,104500,Diesel,200000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,30000,Diesel,950000
Renault Duster 110PS Diesel RxL,2012,120000,Diesel,400000
Maruti Swift ZDi,2014,100000,Diesel,509999
Honda Civic 1.8 V MT,2008,90000,Petrol,375000
Maruti Wagon R LXI,2005,150000,Petrol,150000
Maruti Wagon R AX,2006,60000,Petrol,75000
Hyundai Verna 1.4 VTVT,2015,50000,Petrol,465000
Hyundai Grand i10 1.2 CRDi Asta,2019,10000,Diesel,700000
Mahindra Scorpio 1.99 S10,2015,120000,Diesel,950000
Hyundai i20 1.2 Asta,2017,40000,Petrol,610000
Hyundai Santro GS zipDrive - Euro II,2004,120000,Petrol,60000
Maruti Alto 800 LXI,2014,50000,Petrol,235000
Maruti Eeco 5 Seater AC BSIV,2017,90000,Petrol,330000
Nissan Terrano XE 85 PS,2014,90000,Diesel,472000
Maruti Swift VXI,2019,10000,Petrol,585000
Mahindra Supro LX 8 Str,2018,10000,Diesel,500000
Maruti Alto K10 VXI,2019,27000,Petrol,360000
Maruti Swift Dzire VDI,2016,70000,Diesel,649000
Maruti Omni MPI CARGO BSIV,2017,50000,Petrol,200000
Maruti Swift 1.3 VXi,2008,60000,Petrol,240000
Hyundai Grand i10 CRDi Magna,2014,110000,Diesel,400000
Maruti Celerio VDi,2015,100000,Diesel,250000
Mahindra Marazzo M6,2018,50000,Diesel,1200000
Maruti Swift Vdi BSIII,2009,105000,Diesel,250000
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,110000,Diesel,819999
Mahindra XUV500 W8 2WD,2014,60000,Diesel,800000
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,49102,Petrol,429000
Hyundai Santro Xing GLS,2010,60000,Petrol,150000
Maruti Swift VDI BSIV,2010,120000,Diesel,315000
Chevrolet Beat Diesel LT,2012,90000,Diesel,170000
Honda Brio Exclusive Edition,2014,33033,Petrol,335000
Hyundai Grand i10 AT Asta,2015,63063,Petrol,465000
Renault Duster 110PS Diesel RxL,2013,81000,Diesel,360000
Hyundai Xcent 1.2 CRDi SX,2018,80000,Diesel,570000
Renault Duster 110PS Diesel RxZ,2012,105000,Diesel,350000
Mahindra Ingenio CRDe,2017,60000,Diesel,600000
Maruti Ertiga BSIV VXI,2017,227000,Petrol,700000
Renault Duster 110PS Diesel RxZ,2012,100000,Diesel,375000
Maruti Eeco CNG 5 Seater AC BSIV,2019,60000,CNG,450000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,70000,Diesel,325000
Volkswagen Vento Diesel Comfortline,2011,120000,Diesel,260000
Maruti Alto LXi BSIII,2009,80000,Petrol,130000
Tata New Safari DICOR 2.2 EX 4x2,2008,120000,Diesel,150000
Hyundai Santro Xing GLS,2014,40000,Petrol,220000
Hyundai i10 Magna 1.2 iTech SE,2014,53000,Petrol,275000
Maruti Swift LDI Optional,2017,60000,Diesel,455000
Hyundai i20 1.2 Magna Executive,2017,30000,Petrol,570000
Volkswagen Vento Diesel Highline,2013,100000,Diesel,330000
Toyota Innova Crysta 2.4 VX MT BSIV,2018,70000,Diesel,1576000
Maruti Ertiga ZDI,2012,98000,Diesel,450000
Hyundai EON Magna Plus,2014,60000,Petrol,250000
Hyundai i10 Sportz,2010,80000,Petrol,165000
Mahindra Ssangyong Rexton RX7,2013,117000,Diesel,800000
Honda Jazz 1.2 V i VTEC,2018,8576,Petrol,680000
Tata Tigor 1.2 Revotron XZA,2017,19723,Petrol,525000
Honda City 1.5 V MT Sunroof,2016,21446,Petrol,825000
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,2017,52289,Diesel,750000
Mahindra Scorpio S4 Plus,2017,52236,Diesel,950000
Mahindra Scorpio S4 Plus 4WD,2017,54470,Diesel,950000
Hyundai i20 1.4 CRDi Magna,2017,25471,Diesel,675000
Tata Tiago XT,2019,33928,Petrol,490000
Mahindra TUV 300 T4 Plus,2018,59736,Diesel,775000
Honda City 1.5 V MT,2009,54290,Petrol,350000
Honda Brio S MT,2016,2118,Petrol,475000
Mahindra Scorpio S4 7 Seater,2017,61379,Diesel,950000
Honda City i-VTEC S,2010,58544,Petrol,350000
Maruti Wagon R VXI,2016,74381,Petrol,400000
Maruti 800 DX 5 Speed,2001,35000,Petrol,75000
Ford Ecosport 1.5 DV5 MT Titanium,2017,63982,Diesel,850000
Maruti Wagon R VXI,2008,65000,Petrol,175000
Mahindra Bolero 2011-2019 SLE,2014,74000,Diesel,570000
Renault Duster 110PS Diesel RxZ,2013,56429,Diesel,525000
Hyundai i10 Magna 1.2 iTech SE,2012,56000,Petrol,270000
Hyundai Santro Magna,2019,19500,Petrol,434999
Hyundai i20 Asta Option 1.2,2015,30000,Petrol,495000
Hyundai i20 Asta Option 1.4 CRDi,2016,53000,Diesel,575000
Hyundai Xcent 1.2 VTVT S,2017,5000,Petrol,600000
Hyundai Verna 1.6 VTVT S Option,2015,25000,Petrol,700000
Honda City i DTec V,2014,72000,Diesel,560000
Maruti Swift VDI BSIV W ABS,2016,72000,Diesel,565000
Mahindra Bolero DI AC BSIII,2005,80000,Diesel,250000
Skoda Rapid 1.6 MPI Ambition Plus,2013,29000,Petrol,409999
Nissan Terrano XL D Option,2016,56832,Diesel,495000
Hyundai Elite i20 Petrol Asta,2014,30528,Petrol,470000
Honda Amaze S Diesel,2013,65285,Diesel,350000
Toyota Innova Crysta 2.4 G MT 8 STR,2020,20102,Diesel,1560000
Honda Jazz 1.2 S i VTEC,2015,43000,Petrol,480000
Toyota Etios Liva 1.4 GD,2013,52380,Diesel,270000
Mahindra Bolero B2,2018,74250,Diesel,660000
Maruti Ignis 1.2 AMT Alpha BSIV,2017,57247,Petrol,490000
Maruti Vitara Brezza ZDi Plus,2017,52000,Diesel,800000
Nissan Sunny XV,2011,47000,Petrol,350000
Ford Fiesta EXi 1.4 TDCi Ltd,2011,80000,Diesel,170000
Tata Indica Vista Aqua 1.3 Quadrajet,2011,85000,Diesel,125000
Maruti Swift Dzire VDi,2012,100000,Diesel,400000
Nissan Sunny XV,2011,110000,Petrol,250000
Fiat Linea Emotion (Diesel),2010,178000,Diesel,190000
Maruti Alto LX,2010,120000,Petrol,125000
Jeep Compass 2.0 Limited 4X4,2017,70000,Diesel,1950000
Audi Q5 2.0 TDI,2011,120000,Diesel,1300000
Toyota Innova 2.5 G4 Diesel 8-seater,2010,155000,Diesel,786000
Maruti Wagon R VXI BS IV,2015,30000,Petrol,335000
Maruti Wagon R LXI Minor,2009,60000,Petrol,114999
Volkswagen Polo Diesel Comfortline 1.2L,2012,70000,Diesel,229999
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,40000,Diesel,731000
Hyundai Verna 1.6 SX,2012,120000,Diesel,395000
Maruti Swift Dzire VDI,2015,120000,Diesel,500000
Hyundai EON Era Plus,2014,50000,Petrol,220000
Ford Figo Diesel Celebration Edition,2013,100000,Diesel,240000
Hyundai i20 1.4 CRDi Asta,2010,120000,Diesel,215000
Maruti Swift VDI,2012,90000,Diesel,400000
Maruti Zen Estilo VXI BSIV,2012,90000,Petrol,191000
Mahindra Xylo D4 BSIII,2013,100000,Diesel,351000
Tata Nano XTA,2015,20000,Petrol,250000
Hyundai Verna CRDi SX ABS,2009,90000,Diesel,210000
Toyota Etios VX,2011,120000,Petrol,300000
Ford Figo Aspire 1.5 TDCi Trend,2017,35000,Diesel,700000
Hyundai Sonata CRDi M/T,2010,120000,Diesel,500000
Maruti 800 AC BSIII,2002,120000,Petrol,120000
Hyundai Elite i20 Asta Option Diesel,2019,10000,Diesel,850000
Mahindra Jeep CL 500 MDI,1994,100000,Diesel,120000
Honda WR-V i-DTEC VX,2017,65000,Diesel,770000
Honda Civic 1.8 S MT,2007,90000,Petrol,245000
Maruti Alto K10 2010-2014 VXI,2012,90000,Petrol,250000
Hyundai i20 Active SX Diesel,2016,42323,Diesel,651000
Honda City V MT,2013,42462,Petrol,480000
Maruti Swift VDI BSIV,2015,54723,Diesel,470000
Honda Jazz 1.5 V i DTEC,2016,30000,Diesel,500000
BMW X1 sDrive20d M Sport,2011,42545,Diesel,1075000
Maruti S-Cross 2017-2020 Delta DDiS 200 SH,2016,32000,Diesel,690000
Maruti Swift Dzire VDI Optional,2017,41232,Diesel,589000
Maruti Swift Dzire VDI Optional,2017,41232,Diesel,589000
Maruti Ignis 1.2 Delta BSIV,2018,20375,Petrol,480000
Maruti Swift ZDI Plus,2013,43978,Diesel,450000
Maruti Vitara Brezza VDi Option,2018,50000,Diesel,770000
Mahindra Bolero B4,2015,40200,Diesel,445000
Hyundai i20 1.2 Asta Option,2018,30000,Petrol,700000
Maruti Ertiga ZDI,2014,90000,Diesel,560000
Ford Ecosport Sports Diesel,2013,48000,Diesel,475000
Honda Amaze E Diesel BSIV,2014,27233,Diesel,465000
Maruti Swift Dzire Tour LDI,2017,28832,Diesel,520000
Tata Manza Aura Safire,2011,35000,Petrol,225000
Maruti Ertiga ZXI,2015,35000,Petrol,700000
Maruti Vitara Brezza VDi,2017,40000,Diesel,780000
Honda City 2017-2020 GXi,2006,80000,Petrol,93150
Mahindra Quanto C4,2016,30000,Diesel,403000
Hyundai i10 Era,2009,50000,Petrol,229999
Maruti Swift Dzire VDI,2016,40000,Diesel,525000
Maruti Ertiga VXI,2014,25000,Petrol,560000
Mahindra XUV500 W7,2020,120000,Diesel,830000
Maruti Ritz VDi,2011,60000,Diesel,250000
Mahindra Bolero 2011-2019 DI - AC BS III,2014,110000,Diesel,450000
Mahindra Scorpio 1.99 S4,2016,67000,Diesel,745000
Ford Figo Diesel Titanium,2010,50000,Diesel,144000
Maruti Zen Estilo 1.1 VXI BSIII,2008,40000,Petrol,120000
Tata New Safari DICOR 2.2 EX 4x2,2008,120000,Diesel,300000
Maruti 800 DX,1999,100000,Petrol,52000
Mahindra Scorpio 2.6 CRDe,2003,98000,Diesel,300000
Mahindra Bolero DI DX 7 Seater,2009,150000,Diesel,270000
Chevrolet Sail LT ABS,2014,38000,Diesel,260000
Toyota Etios GD,2015,120000,Diesel,475000
Ford Figo Diesel Titanium,2011,103000,Diesel,302000
Maruti 800 AC,1994,60000,Petrol,45000
Maruti Vitara Brezza VDi Option,2017,80000,Diesel,775000
Maruti Ertiga VDI,2015,50000,Diesel,700000
Maruti Swift VDI BSIV,2014,90000,Diesel,530000
Tata Nexon 1.5 Revotorq XZ Plus,2017,70000,Diesel,869999
Hyundai Elantra CRDi,2006,110000,Diesel,155000
Tata Tiago 1.2 Revotron XZA,2019,30000,Petrol,550000
Maruti Swift Dzire VDI,2016,80000,Diesel,600000
Maruti Swift Dzire VDi,2012,110000,Diesel,430000
Tata Manza Aura (ABS) Quadrajet,2010,120000,Diesel,246000
Maruti Zen VXi - BS III,2003,120000,Petrol,120000
Hyundai i20 Asta 1.2,2014,70000,Petrol,565000
Hyundai Elite i20 Asta Option Diesel,2018,60000,Diesel,850000
Maruti Alto LXi BSIII,2006,90000,Petrol,160000
Fiat Linea Classic Plus 1.3 Multijet,2014,142500,Diesel,325000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,90000,Diesel,450000
Hyundai i10 Sportz 1.1L,2015,50000,Petrol,310000
Honda Amaze S i-Dtech,2013,90000,Diesel,250000
Maruti Swift Dzire LDI,2015,115000,Diesel,420000
Hyundai i20 Sportz AT 1.4,2013,150000,Petrol,330000
Maruti Swift VXI Optional,2015,68000,Petrol,405000
Mahindra Bolero 2011-2019 ZLX,2013,90000,Diesel,400000
Honda City V AT,2010,110000,Petrol,409999
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,70000,Diesel,500000
Mahindra XUV500 W8 4WD,2011,80000,Diesel,590000
Hyundai Santro Xing XS eRLX Euro III,2006,118000,Petrol,80000
Hyundai i10 Era,2007,100000,Petrol,135000
Maruti Wagon R LXI,2004,70000,Petrol,70000
Maruti 800 Std BSII,2004,77000,Petrol,45000
Maruti Swift Dzire VDI,2018,35500,Diesel,650000
Maruti Wagon R VXI Optional,2018,17500,Petrol,400000
Maruti Alto K10 VXI,2017,27000,Petrol,350000
Hyundai Grand i10 1.2 CRDi Asta,2017,60000,Diesel,550000
Maruti Wagon R LXI Optional,2016,25000,Petrol,350000
Maruti Swift Dzire LDI Optional,2015,80000,Diesel,459999
Maruti Alto LXi,2012,60000,Petrol,185000
Volkswagen Polo Diesel Highline 1.2L,2013,38000,Diesel,550000
Maruti Wagon R Duo Lxi,2012,100000,LPG,300000
Maruti Omni E 8 Str STD,2012,60000,Petrol,175000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,110000,Diesel,900000
Honda BR-V i-DTEC S MT,2016,92000,Diesel,900000
Mahindra Bolero 2011-2019 Plus AC,2012,180000,Diesel,550000
Maruti Baleno Zeta 1.2,2018,10000,Petrol,625000
Maruti Alto 800 VXI,2017,35000,Petrol,310000
Maruti Swift DDiS LDI,2017,35000,Diesel,500000
Hyundai Grand i10 CRDi Sportz,2016,23000,Diesel,610000
Tata Indigo CS LX (TDI) BS III,2012,150000,Diesel,150000
Hyundai Xcent 1.1 CRDi SX Option,2015,70000,Diesel,480000
Hyundai i20 1.2 Asta Option,2017,40000,Petrol,650000
Hyundai i20 1.4 CRDi Magna,2012,100000,Diesel,290000
Maruti Alto 800 LXI,2017,50000,Petrol,300000
Maruti Swift Dzire VDi,2010,120000,Diesel,270000
Hyundai Xcent 1.1 CRDi S,2015,60000,Diesel,400000
Maruti Alto 800 LX,2015,28000,Petrol,280000
Maruti Swift Dzire VXi,2009,60000,Petrol,250000
Maruti Swift Dzire VDi,2012,80000,Diesel,495000
Ford Endeavour 3.2 Titanium AT 4X4,2018,12000,Diesel,3250000
Honda Amaze V Petrol BSIV,2019,4500,Petrol,700000
Tata Indigo eCS VX BSIV,2013,70000,Diesel,310000
Renault Duster 85PS Diesel RxE,2017,120000,Diesel,650000
Honda Jazz 1.2 V AT i VTEC,2015,80000,Petrol,600000
Tata New Safari DICOR 2.2 EX 4x2,2009,150000,Diesel,150000
Mahindra Renault Logan 1.4 GLX Petrol,2009,120000,Petrol,135000
Maruti Swift Dzire VDI,2014,50000,Diesel,650000
Honda City V MT,2012,83000,Petrol,550000
Maruti Swift Dzire VDI,2017,20000,Diesel,650000
Toyota Fortuner 2.8 2WD AT BSIV,2018,49000,Diesel,2900000
Honda Brio 1.2 VX MT,2017,6750,Petrol,450000
Maruti Ciaz VXi Plus,2015,26000,Petrol,650000
Hyundai Grand i10 1.2 Kappa Era,2017,52000,Petrol,430000
Hyundai Creta 1.6 CRDi AT S Plus,2017,51000,Diesel,1143000
Maruti Swift AMT ZXI Plus BSIV,2019,20000,Petrol,700000
Maruti Ritz VXi,2011,18500,Petrol,229999
Mahindra TUV 300 T4,2017,142000,Diesel,509999
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2016,50478,Petrol,670000
Tata Tiago 1.2 Revotron XZA,2019,9200,Petrol,525000
Renault Duster 85PS Diesel RxE,2016,40000,Diesel,515000
Maruti Baleno Delta,2020,5000,Petrol,630000
Datsun RediGO A,2019,2300,Petrol,270000
Maruti Alto 800 LXI,2016,40000,Petrol,300000
Mahindra Xylo D2 BSIV,2012,119000,Diesel,250000
Maruti Alto LX,2005,100000,Petrol,90000
Maruti Ertiga SHVS ZDI Plus,2017,100000,Diesel,750000
Maruti Wagon R LXI Minor,2009,50000,Petrol,135000
Maruti Eeco Smiles 5 Seater AC,2013,80000,Petrol,275000
Tata Nexon 1.2 Revotron XM,2018,15000,Petrol,740000
Honda Amaze S i-VTEC,2019,1303,Petrol,690000
